Rank,Song,Artist(s),Album,Streams(Millions),Date published,Popularity
1,Shape of You,['Ed Sheeran'],÷,2654,2017-01-06,85.0
2,rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",Beerbongs & Bentleys,2064,2017-09-15,86.0
3,Dance Monkey,['Tones and I'],The Kids Are Coming,1963,2019-05-10,89.0
4,One Dance,"['Drake', 'Wizkid, Kyla']",Views,1944,2016-04-05,81.0
5,Closer,"['The Chainsmokers', 'Halsey']",Collage,1897,2016-07-29,84.0
6,Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",Spider-Man: Into the Spider-Verse & Hollywood's Bleeding,1732,2018-10-18,85.0
7,Blinding Lights,['The Weeknd'],After Hours,1711,2019-11-29,96.0
8,Señorita,"['Camila Cabello', 'Shawn Mendes']",Romance & Shawn Mendes,1660,2019-06-21,85.0
9,Thinking out Loud,['Ed Sheeran'],×,1655,2014-06-20,84.0
10,God's Plan,['Drake'],Scorpion,1647,2018-01-19,83.0
11,Someone You Loved,['Lewis Capaldi'],Breach & Divinely Uninspired to a Hellish Extent,1631,2018-11-08,91.0
12,bad guy,['Billie Eilish'],"When We All Fall Asleep, Where Do We Go?",1607,2019-03-29,88.0
13,Say You Won't Let Go,['James Arthur'],Back from the Edge,1573,2016-09-09,86.0
14,Perfect,['Ed Sheeran'],÷,1571,2017-03-03,86.0
15,Believer,['Imagine Dragons'],Evolve,1545,2017-02-01,87.0
16,Havana (feat. Young Thug),"['Camila Cabello', 'Young Thug']",Camila,1527,2017-08-03,82.0
17,Photograph,['Ed Sheeran'],×,1491,2014-06-20,84.0
18,Love Yourself,['Justin Bieber'],Purpose,1476,2015-11-09,82.0
19,Starboy,"['The Weeknd', 'Daft Punk']",Starboy,1462,2016-09-21,83.0
20,Lucid Dreams,['Juice WRLD'],Goodbye & Good Riddance,1452,2018-05-04,89.0
21,SAD!,['XXXTentacion'],?,1446,2018-03-01,86.0
22,New Rules,['Dua Lipa'],Dua Lipa,1441,2017-06-02,80.0
